# Spaceport America 30 MPH Case (Data loaded from a file)
# 3333 data points written for 54 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  &quot;Upper Body Tube, Middle Body tube&quot;
#   Discontinuity in rocket body diameter:  &quot;Middle Body tube, Booster Tube (CF)&quot;
#   Recovery device deployment at high speed (105 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-2.2752624672e-5,-0.0229658793,-0.353535611,0.0229658793,0.3554730718,-2.3914041995e-6,0,2.3914041995e-6,180.0233392301,0.0023910761,0.0371176702,33.0023689995,-107.0285161304,0.9984041441,84.0529085457,0,0,0,61.1165483229,17.8706709727,14.983,0.11,NaN,71.5354330709,NaN,0.042,2.023e6,173.307,0.002,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7165341885e-8,6.4173228346,210,83.9956127662,0,48.4186351706,39.75,836,1165.967847769,0.002,0.002
0.004,5.8858267717e-5,0.0590551181,0.9145834714,0.0590551181,0.9195800809,6.1843832021e-6,0,6.1843832021e-6,0,0.0065616798,0.0961592389,33.0023689995,-107.0285161304,0.9984041441,83.9383169867,0,0,0,61.1121390776,17.8684663501,14.982,0.11,NaN,71.5354330709,NaN,0.041,2.018e6,519.922,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2545925469e-7,6.4173228346,210,83.9956127662,0,48.2972440945,39.75,836,1165.967847769,0.002,0.004
0.006,3.1699475066e-4,0.2001312336,2.1828045255,0.2001312336,2.1948371768,3.3333333333e-5,0,3.3333333333e-5,0,0.0196850394,0.2294361479,33.0023689995,-107.0285161304,0.9984041441,83.7664296481,0,0,0,61.1077298324,17.8640571048,14.982,0.11,NaN,71.5354330709,NaN,0.041,2.014e6,866.536,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6356350028e-7,6.4173228346,210,83.9956127662,0,48.1758530184,39.75,836,1165.967847769,0.002,0.005
0.008,9.3766404199e-4,0.4199475066,3.4512295228,0.4232283465,3.470298216,9.8556430446e-5,0,9.8556430446e-5,0,0.0426509186,0.362713057,33.0023689995,-107.0285161304,0.9984041441,83.4799507506,0,0,0,61.1055252098,17.8596478596,14.981,0.11,NaN,71.5354330709,NaN,0.041,2.01e6,1213.151,0.003,0.427,0.001,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6142107651e-6,6.4173228346,210,83.9956127662,0,48.0544619423,39.75,836,1165.967847769,0.002,0.006
0.01,0.0020839895,0.7250656168,4.7198584634,0.7283464567,4.7458612268,2.1906167979e-4,0,2.1906167979e-4,0,0.0754593176,0.4960919376,33.0023689995,-107.0285161304,0.9984041441,83.1361760735,0,0,0,61.1011159645,17.8552386144,14.98,0.11,NaN,71.5354330709,NaN,0.041,2.006e6,1559.766,0.004,0.427,0.002,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7777069642e-6,6.4173228346,210,83.9956127662,0,47.9330708661,39.75,836,1165.967847769,0.002,0.007
0.012,0.0032808399,1.1089238845,5.9885893756,1.1154855643,6.0216281809,4.1207349081e-4,0,4.1207349081e-4,0,0.1181102362,0.6294708183,33.0023689995,-107.0285161304,0.9984041441,82.6778098374,0,0,0,61.0967067193,17.8530339917,14.979,0.11,NaN,71.5354330709,NaN,0.041,2.003e6,1906.38,0.004,0.427,0.002,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2542560405e-6,6.4173228346,210,83.9956127662,0,47.81167979,39.75,836,1165.967847769,0.002,0.008
0.014,0.0065616798,1.5780839895,7.257524231,1.5846456693,7.2974971066,6.9455380577e-4,0,6.9455380577e-4,0,0.1673228346,0.7627477273,33.0023689995,-107.0285161304,0.9984041441,82.1048520422,0,0,0,61.0922974741,17.8486247465,14.978,0.11,NaN,71.5354330709,NaN,0.041,2.001e6,2252.995,0.005,0.427,0.003,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0438579943e-6,6.4173228346,210,83.9956127662,0,47.6902887139,39.75,836,1165.967847769,0.002,0.009
0.016,0.0098425197,2.125984252,8.5265610581,2.1391076115,8.5735699755,0.0010836614,0,0.0010836614,0,0.2230971129,0.8962285796,33.0023689995,-107.0285161304,0.9984041441,81.4745984676,0,0,0,61.0900928514,17.8442155012,14.977,0.11,NaN,71.5354330709,NaN,0.041,1.999e6,2599.609,0.007,0.428,0.003,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1454931093e-6,6.4173228346,210,83.9956127662,0,47.5688976378,39.75,836,1165.967847769,0.002,0.011
0.018,0.0164041995,2.7559055118,9.7958018284,2.7723097113,9.849744816,0.0015967848,0,0.0015967848,0,0.2887139108,1.0296074602,33.0023689995,-107.0285161304,0.9984041441,80.6724575544,0,0,0,61.0856836062,17.839806256,14.976,0.11,NaN,71.5354330709,NaN,0.041,1.998e6,2946.224,0.009,0.428,0.004,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0564259966e-5,6.4173228346,210,83.9956127662,0,47.4475065617,39.75,836,1165.967847769,0.002,0.012
0.02,0.0229658793,3.467847769,11.0651445703,3.4875328084,11.1261235998,0.0022509843,0,0.0022509843,0,0.3641732283,1.1629863409,33.0023689995,-107.0285161304,0.9984041441,79.8130208617,0,0,0,61.0812743609,17.8376016334,14.975,0.11,NaN,71.5354330709,NaN,0.041,1.998e6,3292.838,0.011,0.428,0.005,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3286902255e-5,6.4173228346,210,83.9956127662,0,47.3261154856,39.75,836,1165.967847769,0.002,0.013
0.022,0.0295275591,4.2519685039,12.1673558249,4.2749343832,12.2343511801,0.003062664,0,0.003062664,0,0.4461942257,1.2788261027,33.0023689995,-107.0285161304,0.9984041441,78.8962883895,0,0,0,61.0768651157,17.8309877655,14.974,0.11,NaN,71.5354330709,NaN,0.041,1.999e6,3593.632,0.014,0.427,0.007,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6284867921e-5,6.4173228346,210,83.9956127662,0,47.2047244094,39.75,836,1165.967847769,0.002,0.014
0.024,0.0393700787,5.0393700787,12.2636170354,5.0688976378,12.3312242203,0.0032808399,0,0.0032808399,0,0.5282152231,1.2889212932,33.0023689995,-107.0285161304,0.9984041441,77.9795559173,0,0,0,61.0680466252,17.8243738976,14.972,0.11,NaN,71.5354330709,NaN,0.041,2.001e6,3619.503,0.018,0.427,0.009,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9313425074e-5,6.4173228346,210,83.9956127662,0,47.0833333333,39.75,836,1165.967847769,0.002,0.015
0.026,0.0492125984,5.8234908136,12.1921349288,5.8562992126,12.2593342273,0.0065616798,0,0.0065616798,0,0.6135170604,1.2814773648,33.0023689995,-107.0285161304,0.9984041441,77.0055276656,0,0,0,61.0614327573,17.8155554072,14.971,0.11,NaN,71.5354330709,NaN,0.041,2.003e6,3599.552,0.022,0.427,0.011,0.297,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2321587902e-5,6.4173228346,210,83.9956127662,0,46.9619422572,39.75,836,1165.967847769,0.002,0.016
0.028,0.062335958,6.6043307087,12.1206528223,6.6404199475,12.1874442343,0.0065616798,0,0.0065616798,0,0.6955380577,1.2739314649,33.0023689995,-107.0285161304,0.9984041441,76.0887951934,0,0,0,61.0548188895,17.8089415393,14.969,0.11,NaN,71.4960629921,NaN,0.041,2.005e6,3579.601,0.027,0.427,0.013,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5309356406e-5,6.4173228346,210,83.9956127662,0,46.8405511811,39.75,836,1165.967847769,0.002,0.017
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0754593176,7.3786089239,12.0491707158,7.4212598425,12.1155542413,0.0065616798,0,0.0065616798,0,0.7742782152,1.2663855649,33.0023689995,-107.0285161304,0.9984041441,75.1720627212,0,0,0,61.046000399,17.8023276714,14.967,0.11,NaN,71.4960629921,NaN,0.041,2.009e6,3559.651,0.033,0.427,0.016,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8276730586e-5,6.4173228346,210,83.9956127662,0,46.719160105,39.75,836,1165.967847769,0.002,0.018
0.032,0.0918635171,8.1496062992,11.9776886093,8.1955380577,12.0436642482,0.0098425197,0,0.0098425197,0,0.8562992126,1.2589416365,33.0023689995,-107.0285161304,0.9984041441,74.255330249,0,0,0,61.0393865311,17.7935091809,14.966,0.11,NaN,71.4960629921,NaN,0.041,2.012e6,3539.701,0.039,0.427,0.019,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1223710441e-5,6.4173228346,210,83.9956127662,0,46.5977690289,39.75,836,1165.967847769,0.002,0.019
0.034,0.1082677165,8.9173228346,11.9061045311,8.9665354331,11.9716722836,0.0098425197,0,0.0098425197,0,0.93832021,1.2513957366,33.0023689995,-107.0285161304,0.9984041441,73.3385977767,0,0,0,61.0327726633,17.7868953131,14.964,0.11,NaN,71.4960629921,NaN,0.041,2.016e6,3519.75,0.046,0.427,0.022,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4160493135e-5,6.4173228346,210,83.9956127662,0,46.4763779528,39.75,836,1165.967847769,0.002,0.02
0.036,0.1279527559,9.6784776903,11.834520453,9.7309711286,11.8997822906,0.0131233596,0,0.0131233596,0,1.0170603675,1.2438498366,33.0023689995,-107.0285161304,0.9984041441,72.479161084,0,0,0,61.0239541728,17.7802814452,14.962,0.11,NaN,71.4960629921,NaN,0.041,2.02e6,3499.8,0.053,0.427,0.025,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7076881504e-5,6.4173228346,210,83.9956127662,0,46.3549868766,39.75,836,1165.967847769,0.002,0.022
0.038,0.1476377953,10.436351706,11.7629363748,10.4921259843,11.827790326,0.0164041995,0,0.0164041995,0,1.0958005249,1.2363039366,33.0023689995,-107.0285161304,0.9984041441,71.5624286118,0,0,0,61.0173403049,17.7714629547,14.961,0.11,NaN,71.4960629921,NaN,0.042,2.025e6,3479.849,0.061,0.427,0.029,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9983072711e-5,6.4173228346,210,83.9956127662,0,46.2335958005,39.75,836,1165.967847769,0.002,0.023
0.04,0.1673228346,11.187664042,11.6913522967,11.25,11.7557983613,0.0164041995,0,0.0164041995,0,1.1745406824,1.2288600083,33.0023689995,-107.0285161304,0.9984041441,70.7029919191,0,0,0,61.010726437,17.7648490869,14.959,0.11,NaN,71.4960629921,NaN,0.042,2.031e6,3459.899,0.07,0.427,0.033,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2858672431e-5,6.4173228346,210,83.9956127662,0,46.1122047244,39.75,836,1165.967847769,0.002,0.024
0.042,0.1902887139,11.9356955381,11.6197682185,12.001312336,11.6837044251,0.0196850394,0,0.0196850394,0,1.2532808399,1.2213141083,33.0023689995,-107.0285161304,0.9984041441,69.8435552264,0,0,0,61.0019079466,17.758235219,14.957,0.11,NaN,71.4960629921,NaN,0.042,2.036e6,3439.948,0.079,0.426,0.037,0.296,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.572407499e-5,6.4173228346,210,83.9956127662,0,45.9908136483,39.75,836,1165.967847769,0.002,0.025
0.044,0.2165354331,12.6771653543,11.5480821687,12.749343832,11.6117124604,0.0229658793,0,0.0229658793,0,1.3320209974,1.2137682083,33.0023689995,-107.0285161304,0.9984041441,68.9841185338,0,0,0,60.9952940787,17.7494167285,14.955,0.11,NaN,71.4960629921,NaN,0.042,2.042e6,3419.998,0.089,0.426,0.042,0.295,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8579280386e-5,6.4173228346,210,83.9956127662,0,45.8694225722,39.75,836,1165.967847769,0.002,0.027
0.046,0.2427821522,13.4153543307,11.476396119,13.4908136483,11.5396185242,0.0262467192,0,0.0262467192,0,1.4107611549,1.2062223083,33.0023689995,-107.0285161304,0.9984041441,68.1246818411,0,0,0,60.9886802108,17.7428028606,14.954,0.11,NaN,71.4960629921,NaN,0.042,2.049e6,3400.047,0.1,0.426,0.046,0.295,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1403894296e-5,6.4173228346,210,83.9956127662,0,45.7480314961,39.75,836,1165.967847769,0.002,0.028
0.048,0.2690288714,14.1502624672,11.4047100692,14.2290026247,11.4675245879,0.0295275591,0,0.0295275591,0,1.4862204724,1.1986764084,33.0023689995,-107.0285161304,0.9984041441,67.2652451484,0,0,0,60.9798617203,17.7361889928,14.952,0.11,NaN,71.4960629921,NaN,0.042,2.056e6,3380.097,0.111,0.426,0.051,0.295,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4218311044e-5,6.4173228346,210,83.9956127662,0,45.6266404199,39.75,836,1165.967847769,0.002,0.029
0.05,0.2985564304,14.8786089239,11.3412837207,14.9606299213,11.4037923246,0.032808399,0,0.032808399,0,1.5649606299,1.192048253,33.0023689995,-107.0285161304,0.9984041441,66.4631042352,0,0,0,60.9732478525,17.7273705023,14.95,0.11,NaN,71.4960629921,NaN,0.042,2.063e6,3362.401,0.123,0.426,0.056,0.295,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7012333468e-5,6.4173228346,210,83.9956127662,0,45.5052493438,39.75,836,1165.967847769,0.002,0.031
0.052,0.3280839895,15.6102362205,11.3273136086,15.6955380577,11.3897202409,0.0360892388,0,0.0360892388,0,1.6404199475,1.1905186787,33.0023689995,-107.0285161304,0.9984041441,65.7182591015,0,0,0,60.9666339846,17.7207566344,14.949,0.11,NaN,71.4566929134,NaN,0.043,2.076e6,3358.235,0.136,0.425,0.061,0.295,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9806355891e-5,6.4173228346,210,83.9956127662,0,45.531496063,39.75,836,1165.967847769,0.002,0.032
0.054,0.3608923885,16.3385826772,11.3217051695,16.4271653543,11.3841118017,0.0393700787,0,0.0393700787,0,1.7158792651,1.1900088205,33.0023689995,-107.0285161304,0.9984041441,64.9161181883,0,0,0,60.9600201167,17.7141427666,14.947,0.11,NaN,71.4566929134,NaN,0.043,2.09e6,3356.324,0.149,0.425,0.066,0.294,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2590181153e-5,6.4173228346,210,83.9956127662,0,45.5544619423,39.75,836,1165.967847769,0.002,0.033
0.056,0.3937007874,17.0669291339,11.3160967303,17.1587926509,11.3784013909,0.0426509186,0,0.0426509186,0,1.7946194226,1.1893969908,33.0023689995,-107.0285161304,0.9984041441,64.1712730547,0,0,0,60.9534062489,17.7075288987,14.945,0.11,NaN,71.4566929134,NaN,0.043,2.104e6,3354.412,0.163,0.425,0.072,0.294,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5384203576e-5,6.4173228346,210,83.9956127662,0,45.5807086614,39.75,836,1165.967847769,0.002,0.034
0.058,0.4297900262,17.7919947507,11.3103863195,17.8904199475,11.3726909801,0.0459317585,0,0.0459317585,0,1.8700787402,1.1887851611,33.0023689995,-107.0285161304,0.9984041441,63.426427921,0,0,0,60.9445877584,17.7009150308,14.944,0.11,NaN,71.4566929134,NaN,0.043,2.119e6,3352.501,0.178,0.424,0.077,0.293,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8168028838e-5,6.4173228346,210,83.9956127662,0,45.6036745407,39.75,836,1165.967847769,0.002,0.035
0.06,0.4658792651,18.5203412073,11.3047778803,18.6220472441,11.3670825409,0.0492125984,0,0.0492125984,0,1.9455380577,1.1881733314,33.0023689995,-107.0285161304,0.9984041441,62.7388785668,0,0,0,60.9379738905,17.694301163,14.942,0.11,NaN,71.4566929134,NaN,0.044,2.133e6,3350.59,0.193,0.424,0.083,0.293,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0962051261e-5,6.4173228346,210,83.9956127662,0,45.6266404199,39.75,836,1165.967847769,0.002,0.036
0.062,0.5052493438,19.248687664,11.2990674695,19.3536745407,11.3613721301,0.0524934383,0,0.0524934383,0,2.0242782152,1.1875615016,33.0023689995,-107.0285161304,0.9984041441,61.9940334332,0,0,0,60.9313600227,17.6854826725,14.941,0.11,NaN,71.4566929134,NaN,0.044,2.148e6,3348.679,0.21,0.424,0.088,0.293,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3745876523e-5,6.4173228346,210,83.9956127662,0,45.6528871391,39.75,836,1165.967847769,0.002,0.037
0.064,0.5446194226,19.9737532808,11.2934590304,20.0853018373,11.3556617193,0.0557742782,0,0.0557742782,0,2.0997375328,1.1869496719,33.0023689995,-107.0285161304,0.9984041441,61.306484079,0,0,0,60.9247461548,17.6788688046,14.939,0.11,NaN,71.4566929134,NaN,0.044,2.164e6,3346.768,0.227,0.423,0.094,0.292,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6529701784e-5,6.4173228346,210,83.9956127662,0,45.6758530184,39.75,836,1165.967847769,0.002,0.038
0.066,0.5839895013,20.7020997375,11.2877486196,20.813648294,11.3499513086,0.062335958,0,0.062335958,0,2.1751968504,1.1864398138,33.0023689995,-107.0285161304,0.9984041441,60.6189347248,0,0,0,60.9181322869,17.6722549367,14.937,0.11,NaN,71.4566929134,NaN,0.045,2.18e6,3344.856,0.244,0.423,0.1,0.292,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9313527045e-5,6.4173228346,210,83.9956127662,0,45.7020997375,39.75,836,1165.967847769,0.002,0.039
0.068,0.6266404199,21.4271653543,11.2821401804,21.5452755906,11.3442408978,0.0656167979,0,0.0656167979,0,2.250656168,1.1858279841,33.0023689995,-107.0285161304,0.9984041441,59.9313853707,0,0,0,60.9093137964,17.6656410689,14.936,0.11,NaN,71.4566929134,NaN,0.045,2.196e6,3342.945,0.263,0.422,0.106,0.292,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2097352307e-5,6.4173228346,210,83.9956127662,0,45.7250656168,39.75,836,1165.967847769,0.002,0.04
0.07,0.6692913386,22.1522309711,11.2764297696,22.2736220472,11.338530487,0.0688976378,0,0.0688976378,0,2.3293963255,1.1852161543,33.0023689995,-107.0285161304,0.9984041441,59.2438360165,0,0,0,60.9026999286,17.659027201,14.934,0.11,NaN,71.4566929134,NaN,0.045,2.212e6,3341.034,0.282,0.422,0.112,0.291,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4870980406e-5,6.4173228346,210,83.9956127662,0,45.7480314961,39.75,836,1165.967847769,0.002,0.042
0.072,0.7152230971,22.8772965879,11.2707193588,23.0019685039,11.3328200762,0.0754593176,0,0.0754593176,0,2.404855643,1.1846043246,33.0023689995,-107.0285161304,0.9984041441,58.6135824419,0,0,0,60.8960860607,17.6502087105,14.932,0.11,NaN,71.4566929134,NaN,0.046,2.229e6,3339.123,0.302,0.422,0.118,0.291,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7654805668e-5,6.4173228346,210,83.9956127662,0,45.7742782152,39.75,836,1165.967847769,0.002,0.043
0.074,0.7611548556,23.6023622047,11.2651109196,23.7335958005,11.3271096654,0.0787401575,0,0.0787401575,0,2.4803149606,1.1839924949,33.0023689995,-107.0285161304,0.9984041441,57.9260330877,0,0,0,60.8894721928,17.6435948427,14.931,0.11,NaN,71.4566929134,NaN,0.046,2.246e6,3337.212,0.322,0.421,0.124,0.29,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0428433767e-5,6.4173228346,210,83.9956127662,0,45.7972440945,39.75,836,1165.967847769,0.002,0.044
0.076,0.8103674541,24.3274278215,11.2594005088,24.4619422572,11.3213992546,0.0853018373,0,0.0853018373,0,2.5557742782,1.1833806652,33.0023689995,-107.0285161304,0.9984041441,57.2957795131,0,0,0,60.882858325,17.6369809748,14.929,0.11,NaN,71.4566929134,NaN,0.046,2.263e6,3335.3,0.344,0.421,0.131,0.29,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3202061866e-5,6.4173228346,210,83.9956127662,0,45.8234908136,39.75,836,1165.967847769,0.002,0.045
0.078,0.8595800525,25.0524934383,11.253690098,25.1902887139,11.3156888438,0.0885826772,0,0.0885826772,0,2.6345144357,1.1827688354,33.0023689995,-107.0285161304,0.9984041441,56.6655259384,0,0,0,60.8762444571,17.6303671069,14.928,0.11,NaN,71.4173228346,NaN,0.047,2.28e6,3333.389,0.366,0.42,0.137,0.29,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5975689965e-5,6.4173228346,210,83.9956127662,0,45.8464566929,39.75,836,1165.967847769,0.002,0.047
0.08,0.9087926509,25.7742782152,11.2479796873,25.9153543307,11.309978433,0.095144357,0,0.095144357,0,2.7099737533,1.1822589773,33.0023689995,-107.0285161304,0.9984041441,56.0352723638,0,0,0,60.8674259666,17.6237532391,14.926,0.11,NaN,71.4173228346,NaN,0.047,2.298e6,3331.478,0.388,0.42,0.143,0.289,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8749318065e-5,6.4173228346,210,83.9956127662,0,45.8694225722,39.75,836,1165.967847769,0.002,0.048
0.082,0.9612860892,26.499343832,11.2422692765,26.6437007874,11.3042680222,0.1017060367,0,0.1017060367,0,2.7854330709,1.1816471476,33.0023689995,-107.0285161304,0.9984041441,55.4623145687,0,0,0,60.8608120988,17.6171393712,14.924,0.11,NaN,71.4173228346,NaN,0.048,2.316e6,3329.567,0.412,0.42,0.149,0.289,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0152294616e-4,6.4173228346,210,83.9956127662,0,45.8956692913,39.75,836,1165.967847769,0.002,0.048
0.084,1.0137795276,27.2211286089,11.2365588657,27.3720472441,11.2984556398,0.1082677165,0,0.1082677165,0,2.8608923885,1.1810353179,33.0023689995,-107.0285161304,0.9984041441,54.832060994,0,0,0,60.8541982309,17.6083208807,14.923,0.11,NaN,71.4173228346,NaN,0.048,2.334e6,3327.656,0.436,0.419,0.156,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,45.9186351706,39.749,836,1165.967847769,0.002,0.049
0.086,1.0695538058,27.9429133858,11.2308484549,28.0971128609,11.292745229,0.1115485564,0,0.1115485564,0,2.936351706,1.1804234881,33.0023689995,-107.0285161304,0.9984041441,54.2591031989,0,0,0,60.847584363,17.6017070128,14.921,0.11,NaN,71.4173228346,NaN,0.048,2.353e6,3325.745,0.461,0.419,0.162,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,45.9448818898,39.749,836,1165.967847769,0.002,0.05
0.088,1.125328084,28.6646981627,11.2251380441,28.8254593176,11.2870348182,0.1181102362,0,0.1181102362,0,3.0118110236,1.1798116584,33.0023689995,-107.0285161304,0.9984041441,53.6861454038,0,0,0,60.8409704952,17.595093145,14.919,0.11,NaN,71.4173228346,NaN,0.049,2.372e6,3323.833,0.486,0.419,0.168,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,45.967847769,39.749,836,1165.967847769,0.002,0.051
0.09,1.1843832021,29.3864829396,11.2194276333,29.5505249344,11.2812224358,0.124671916,0,0.124671916,0,3.0872703412,1.1791998287,33.0023689995,-107.0285161304,0.9984041441,53.1131876086,0,0,0,60.8321520047,17.5884792771,14.918,0.11,NaN,71.4173228346,NaN,0.049,2.391e6,3321.922,0.513,0.419,0.175,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,45.9940944882,39.749,836,1165.967847769,0.002,0.052
0.092,1.2434383202,30.1082677165,11.2137172225,30.2755905512,11.275512025,0.1312335958,0,0.1312335958,0,3.1660104987,1.178587999,33.0023689995,-107.0285161304,0.9984041441,52.5402298135,0,0,0,60.8255381368,17.5818654092,14.916,0.11,NaN,71.4173228346,NaN,0.049,2.41e6,3320.011,0.54,0.419,0.181,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,46.0170603675,39.749,836,1165.967847769,0.002,0.053
0.094,1.3057742782,30.8300524934,11.2080068117,31.000656168,11.2696996426,0.1377952756,0,0.1377952756,0,3.2414698163,1.1779761692,33.0023689995,-107.0285161304,0.9984041441,51.9672720184,0,0,0,60.8189242689,17.5752515414,14.915,0.11,NaN,71.4173228346,NaN,0.05,2.429e6,3318.1,0.569,0.419,0.188,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,46.0400262467,39.749,836,1165.967847769,0.002,0.055
0.096,1.3681102362,31.5518372703,11.2022964009,31.7257217848,11.2639892318,0.1443569554,0,0.1443569554,0,3.3169291339,1.1773643395,33.0023689995,-107.0285161304,0.9984041441,51.4516100027,0,0,0,60.8123104011,17.5664330509,14.913,0.11,NaN,71.4173228346,NaN,0.05,2.449e6,3316.189,0.598,0.419,0.194,0.288,0.065,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.019716213e-4,6.4173228346,210,83.9956127662,0,46.0662729659,39.749,836,1165.967847769,0.002,0.056
