# Spaceport America 0 MPH Case (Up to date)
# 1050 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.1,0.4407743536,9.7072323281,106.1746464649,9.7309364,106.4339141304,0.0308219453,0,0.0308219453,0,0.6787958095,7.4244545365,0.5759586532,1.8675023054,9.7913556745,0,0,0,0,28.5347409733,7.9619789577,16.8310977762,0.1188368451,NaN,72.1281298237,NaN,0.0290588157,1.7121830192e6,3316.1885483871,0.406442496,0.4123758081,0.4123758081,0.3312558057,0.0106211269,0.0704988755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011914469,6.2,194.7783549651,1.5009831567,0,0,5.8935209634,856.0911153343,334.8703737038,0.01,0.0325498
0.11,0.5431397294,10.7659451327,105.9019538649,10.7922344734,106.1605556429,0.0379800297,0,0.0379800297,0,0.7528282207,7.4053860124,0.5759586532,1.8675023067,9.7913553925,0,0,0,0,28.5188513451,7.9460893295,16.8220733994,0.1188177696,NaN,72.1122211845,NaN,0.0322281348,1.898905061e6,3306.6325806452,0.4922375883,0.4060316209,0.4060316209,0.3248854575,0.0106324667,0.0705136966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013213913,6.2,194.7783549651,1.5009831567,0,0,5.8928555884,856.0802265929,334.8699704866,0.01,0.0335837
0.12,0.6560901561,11.82424381,105.8609688189,11.8531174082,106.1194705155,0.045878293,0,0.045878293,0,0.8268316733,7.4025200588,0.5759586532,1.8675023082,9.7913550779,0,0,0,0,28.5027073209,7.9299453053,16.8128949919,0.1187983887,NaN,72.0960396792,NaN,0.0353962257,2.0855490451e6,3303.6838560745,0.5855929545,0.4004455436,0.4004455436,0.3192713396,0.01064416,0.070530044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014512848,6.2,194.7783549651,1.5009831567,0,0,5.8921214106,856.0682119045,334.8695255748,0.01,0.0349113
0.13,0.7796383639,12.8855014315,106.1568474307,12.9169665127,106.4160716327,0.0545176253,0,0.0545176253,0,0.9010420354,7.4232099068,0.5759586532,1.8675023098,9.7913547308,0,0,0,0,28.4865350305,7.9137730149,16.8036908479,0.1187789738,NaN,72.079811453,NaN,0.0385731886,2.2727095161e6,3310.3604980989,0.6867519128,0.3954549432,0.3954549432,0.3142506815,0.0106562865,0.0705479753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015815415,6.2,194.7783549651,1.5009831567,0,0,5.8913183473,856.0550699164,334.8690389184,0.01,0.0359123
0.14,0.9138140903,13.9497472511,106.4555637218,13.9838111121,106.7155173586,0.063900106,0,0.063900106,0,0.9754613527,7.4440981847,0.5759586532,1.8675023116,9.7913543512,0,0,0,0,28.4703627401,7.8976007245,16.7944770129,0.118759559,NaN,72.0635647902,NaN,0.0417591111,2.4603910433e6,3317.1187110266,0.7980882202,0.3921244079,0.3921244079,0.3108880209,0.0106688831,0.070567504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001712165,6.2,194.7783549651,1.5009831567,0,0,5.890446205,856.0407974652,334.8685104003,0.01,0.0367425
0.15,1.0586472106,15.0169796643,106.7540762296,15.0536495982,107.0147588035,0.0740278244,0,0.0740278244,0,1.0500895129,7.4649722127,0.5759586532,1.8675023135,9.7913539388,0,0,0,0,28.4541904496,7.8814284341,16.7852534703,0.1187401442,NaN,72.0472996594,NaN,0.0449539891,2.64859279e6,3323.8769239544,0.9249226751,0.3921500301,0.3921500301,0.3108794066,0.0106819804,0.070588643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001843155,6.2,194.7783549651,1.5009831567,0,0,5.8895047898,856.0253913731,334.8679399026,0.01,0.0375511
0.16,1.2141675851,16.0871978648,107.0525861286,16.1264811624,107.3139976333,0.0849028684,0,0.0849028684,0,1.1249264598,7.4858460583,0.5759586532,1.8675023155,9.7913534938,0,0,0,0,28.4380181592,7.8652561437,16.7760202035,0.1187207293,NaN,72.0310160292,NaN,0.0481578224,2.8373141551e6,3330.6351368821,1.0615103965,0.3921771412,0.3921771412,0.3108701308,0.0106956048,0.0706114056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019745116,6.2,194.7783549651,1.5009831567,0,0,5.8884939074,856.0088484632,334.8673273079,0.01,0.0383921
0.17,1.3804050715,17.1604018127,107.3510905577,17.202305765,107.6132309798,0.0965273258,0,0.0965273258,0,1.1999721904,7.5067195214,0.5759586532,1.8675023177,9.7913530158,0,0,0,0,28.4218458688,7.8490838533,16.7667771959,0.1187013145,NaN,72.0147138678,NaN,0.0513706119,3.0265545838e6,3337.3933498099,1.2079327746,0.3922057722,0.3922057722,0.3108601879,0.0107097794,0.0706358049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021062345,6.2,194.7783549651,1.5009831567,0,0,5.8874133637,855.9911655599,334.8666724984,0.01,0.0392142
0.18,1.557389527,18.2365914399,107.649586634,18.2811233375,107.912455953,0.1089032846,0,0.1089032846,0,1.2752267001,7.5275924004,0.5759586532,1.86750232,9.791352505,0,0,0,0,28.4056735784,7.8329115628,16.7575244309,0.1186818996,NaN,71.9983931438,NaN,0.0545923587,3.2163135316e6,3344.1515627376,1.3642716419,0.3922359514,0.3922359514,0.3108495728,0.0107245246,0.070661854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002238324,6.2,194.7783549651,1.5009831567,0,0,5.8862629648,855.972339487,334.8659753566,0.01,0.040225
0.19,1.7451508079,19.3157666489,107.9480714524,19.3629337825,108.211669641,0.1220328324,0,0.1220328324,0,1.350689982,7.5484644921,0.5759586532,1.8675023225,9.7913519611,0,0,0,0,28.389501288,7.8167392724,16.7482618919,0.1186624848,NaN,71.9820538253,NaN,0.0578230638,3.406590444e6,3350.9097756654,1.5306092643,0.3922677049,0.3922677049,0.31083828,0.0107398588,0.0706895662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023707798,6.2,194.7783549651,1.5009831567,0,0,5.8850425164,855.9523670689,334.865235765,0.01,0.0411713
0.2,1.9437187694,20.3979273135,108.2465420862,20.4477369731,108.5108691097,0.1359180569,0,0.1359180569,0,1.4263620273,7.569335592,0.5759586532,1.8675023251,9.7913513841,0,0,0,0,28.3733289976,7.800566982,16.738989562,0.11864307,NaN,71.9656958806,NaN,0.0610627281,3.597384757e6,3357.6679885932,1.7070283474,0.3923010576,0.3923010576,0.310826304,0.0107557989,0.0707189546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025036022,6.2,194.7783549651,1.5009831567,0,0,5.8837518247,855.9312451297,334.8644536058,0.01,0.0419635
0.21,2.1531232653,21.4830732778,108.5449955861,21.5355327532,108.8100514026,0.1505610457,0,0.1505610457,0,1.5022428251,7.5902054938,0.5759586532,1.8675023278,9.7913507739,0,0,0,0,28.3571567072,7.7843946916,16.7297074246,0.1186236551,NaN,71.9493192778,NaN,0.0643113525,3.7886958963e6,3364.4262015209,1.8936120405,0.3923360326,0.3923360326,0.3108136396,0.0107723603,0.0707500327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026367909,6.2,194.7783549651,1.5009831567,0,0,5.8823906955,855.9089704938,334.8636287615,0.01,0.0427056
0.22,2.3733941477,22.5712043564,108.8434289804,22.626320937,109.1092135407,0.1659638862,0,0.1659638862,0,1.5783323624,7.6110739896,0.5759586532,1.8675023307,9.7913501304,0,0,0,0,28.3409844168,7.7682224012,16.7204154629,0.1186042403,NaN,71.9329239849,NaN,0.0675689377,3.9805232777e6,3371.1844144487,2.0904439424,0.3923726525,0.3923726525,0.3108002811,0.0107895575,0.0707828138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002770346,6.2,194.7783549651,1.5009831567,0,0,5.8809589347,855.8855399859,334.8627611145,0.01,0.0439775
0.23,2.6045612668,23.6623203341,109.1418392744,23.7201013087,109.4083525223,0.1821286659,0,0.1821286659,0,1.6546306241,7.6319408701,0.5759586532,1.8675023337,9.7913494535,0,0,0,0,28.3248121264,7.7520501108,16.71111366,0.1185848254,NaN,71.9165099699,NaN,0.0708354845,4.172866307e6,3377.9426273764,2.2976081062,0.3924109385,0.3924109385,0.3107862233,0.0108074041,0.0708173112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029042674,6.2,194.7783549651,1.5009831567,0,0,5.8794563485,855.8609504308,334.8618505472,0.01,0.0453484
0.24,2.8466544702,24.7564209655,109.4402234506,24.8168736223,109.7074653222,0.1990574718,0,0.1990574718,0,1.7311375932,7.6528059243,0.5759586532,1.8675023369,9.7913487431,0,0,0,0,28.3086398359,7.7358778204,16.7018019991,0.1185654106,NaN,71.9000772008,NaN,0.0741109934,4.36572438e6,3384.7008403042,2.5151890446,0.3924509116,0.3924509116,0.3107714606,0.0108259128,0.0708535383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030385552,6.2,194.7783549651,1.5009831567,0,0,5.8778827427,855.8351986535,334.8608969421,0.01,0.0466748
0.25,3.0997036032,25.853505975,109.738578468,25.9166376016,110.0065488922,0.2167523909,0,0.2167523909,0,1.8078532504,7.6736689395,0.5759586532,1.8675023402,9.7913479991,0,0,0,0,28.2924675455,7.71970553,16.6924804632,0.1185459958,NaN,71.8836256454,NaN,0.0773954651,4.5590968822e6,3391.4590532319,2.7432717351,0.3924925919,0.3924925919,0.3107559875,0.0108450959,0.0708915086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031732093,6.2,194.7783549651,1.5009831567,0,0,5.8762379233,855.8082814793,334.8599001815,0.01,0.047764
0.26,3.3637385081,26.9535750566,110.0369012624,27.0193929398,110.3056001604,0.2352155101,0,0.2352155101,0,1.8847775742,7.6945297014,0.5759586532,1.8675023437,9.7913472215,0,0,0,0,28.2762952551,7.7035332396,16.6831490355,0.1185265809,NaN,71.8671552715,NaN,0.0806888999,4.752983189e6,3398.2172661597,2.9819416252,0.3925359992,0.3925359992,0.3107397986,0.0108649651,0.0709312355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033082297,6.2,194.7783549651,1.5009831567,0,0,5.8745216964,855.7801957339,334.858860148,0.01,0.0485642
0.27,3.6387890239,28.0566278734,110.3351887454,28.1251392992,110.6046160311,0.2544489158,0,0.2544489158,0,1.9619105411,7.7153879942,0.5759586532,1.8675023473,9.7913464101,0,0,0,0,28.2601229647,7.6873609491,16.6738076989,0.1185071661,NaN,71.8506660467,NaN,0.0839912983,4.9473826655e6,3404.9754790875,3.2312846378,0.3925811527,0.3925811527,0.3107228883,0.0108855317,0.0709727326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034436162,6.2,194.7783549651,1.5009831567,0,0,5.8727338681,855.7509382432,334.8577767241,0.01,0.0493918
# Event LAUNCHROD occurred at t=0.28 seconds
0.28,3.9248849861,29.1626640575,110.6334378048,29.2338763109,110.9035933843,0.2744546943,0,0.2744546943,0,2.0392521253,7.7362436,0.5759586532,1.867502351,9.7913455649,0,0,0,0,28.2439506743,7.6711886587,16.6644564365,0.1184877512,NaN,71.8341579387,NaN,0.0873026605,5.1422946665e6,3411.7336920152,3.4913871768,0.3926280715,0.3926280715,0.3107052512,0.0109068068,0.0710160135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003579369,6.2,194.7783549651,1.5009831567,0,0,5.8708742444,855.7205058337,334.8566497921,0.01,0.0501795
